iata,icao,city,airport,city_eng,airport_eng,province,latitude,longitude,elevation,type
NBS,ZYBS,白山,长白山,Baishan,Changbaishan,吉林,42.066944,127.602222,2874,M
DBC,ZYBA,白城,长安,Baicheng,Chang'an,吉林,45.505278,123.019722,480,M
AOG,ZYAS,鞍山,腾鳌,Anshan,Teng'ao,辽宁,41.105301,122.853996,-1,M
YIN,ZWYN,伊宁,,Yining,,新疆,43.955799,81.330299,-1,S
URC,ZWWW,乌鲁木齐,地窝堡,Urumqi,Diwopu,新疆,43.9071006774902,87.4741973876953,2125,L
TWC,ZWTS,图木舒克,唐王城,Tumushuke,Tangwangcheng,新疆,39.886663,79.233408,3566,S
HTN,ZWTN,和田,,Hotan,,新疆,37.0385017395019,79.8648986816406,4672,M
TLQ,ZWTL,吐鲁番,交河,Turpan,Jiaohe,新疆,43.030556,89.100556,934,S
TCG,ZWTC,塔城,千泉,Tacheng,Qianquan,新疆,46.67250061,83.34079742,-1,M
KHG,ZWSH,喀什,,Kashi,,新疆,39.5429000854,76.0199966431,4529,M
QSZ,ZWSC,莎车,叶尔羌,Shache,Yeerqiang,新疆,38.281055,77.075192,4232,M
RQA,ZWRQ,若羌,楼兰,Ruoqiang,Loulan,新疆,38.974722,88.008333,2916,M
NLT,ZWNL,新源,那拉提,Xinyuan,Nalati,新疆,43.4318,83.3786,3050,M
KJI,ZWKN,布尔津,喀纳斯,Burqin,Kanas,新疆,48.2223,86.9959,3921,M
KRY,ZWKM,克拉玛依,,Karamay,,新疆,45.46655,84.9527,-1,S
KRL,ZWKL,库尔勒,Licheng,Korla,,新疆,41.6977996826171,86.1288986206054,-1,M
KCA,ZWKC,库车,龟兹,Kuqa,Qiuci,新疆,41.677856,82.872917,3524,S
SHF,ZWHZ,石河子,花园,Shihezi,Huayuan,新疆,44.2421,85.8905,1700,S
HMI,ZWHM,哈密,,Hami,,新疆,42.8414,93.669197,2703,M
FYN,ZWFY,富蕴,可可托海,Fuyun,Koktokay,新疆,46.804169,89.512006,3081,M
IQM,ZWCM,且末,玉都,Qiemo,Yudu,新疆,38.233611,85.465556,-1,M
BPL,ZWBL,博乐,阿拉山口,Bole,Alashankou,新疆,44.895,82.3,1253,M
AAT,ZWAT,阿勒泰,雪都,Altay,Xuedu,新疆,47.7498855591,88.0858078003,2460,M
AKU,ZWAK,阿克苏,温宿,Aksu,Wensu,新疆,41.262501,80.291702,3816,M
ZYI,ZUZY,遵义,新舟,Zunyi,Xinzhou,贵州,27.5895,107.0007,2920,M
PZI,ZUZH,攀枝花,保安营,Panzhihua,Bao'anying,四川,26.54,101.79852,1620,M
ACX,ZUYI,兴义,万峰林,Xingyi,Wanfenglin,贵州,25.0863888889,104.959444444,4150,M
YBP,ZUYB,宜宾,五粮液,Yibin,Wuliangye,四川,28.858431,104.526157,924,M
XIC,ZUXC,西昌,青山,Xichang,Qingshan,四川,27.9890995025634,102.18399810791,5112,M
WXN,ZUWX,万州,五桥,Wanzhou,Wuqiao,重庆,30.8017,108.433,-1,S
WSK,ZUWS,巫山,,Wushan,,重庆,31.06896,109.708958,-1,S
CTU,ZUUU,成都,双流,Chengdu,Shuangliu,四川,30.5785007476806,103.946998596191,1625,L
TEN,ZUTR,铜仁,凤凰,Tongren,Fenghuang,贵州,27.883333,109.308889,-1,S
TFU,ZUTF,成都,天府,Chengdu,Tianfu,四川,30.319,104.445,1440,L
TCZ,ZUTC,腾冲,驼峰,Tengchong,Tuofeng,云南,24.9380555556,98.4858333333,6250,M
RKZ,ZURK,日喀则,和平,Rikaze,Heping,西藏,29.3519,89.311401,3782,M
JIQ,ZUQJ,黔江,武陵山,Qianjiang,Wulingshan,重庆,29.5133333333,108.831111111,2075,M
LPF,ZUPS,六盘水,月照,Liupanshui,Yuezhao,贵州,26.609417,104.979,-1,M
LZY,ZUNZ,林芝,米林,Nyingchi,Mainling,西藏,29.3033008575439,94.3352966308593,9675,M
HZH,ZUNP,黎平,,Liping,,贵州,26.32217,109.1499,1620,M
NAO,ZUNC,南充,高坪,Nanchong,Gaoping,四川,30.79545,106.1626,1145,S
MIG,ZUMY,绵阳,南郊,Mianyang,Nanjiao,四川,31.4281005859375,104.740997314453,-1,M
WMT,ZUMT,遵义,茅台,Zunyi,Maotai,贵州,27.81638,106.33268,4068,M
LZO,ZULZ,泸州,云龙,Luzhou,Yunlong,四川,29.030357,105.468407,-1,M
LXA,ZULS,拉萨,贡嘎,Lhasa,Gonggar,西藏,29.2978000641,90.9119033813,11713,M
LLB,ZULB,黔南,荔波,Qian'nan,Libo,贵州,25.4525,107.961667,-1,S
KJH,ZUKJ,凯里,黄平,Kaili,Huangping,贵州,26.972,107.988,3115,M
KGT,ZUKD,康定,,Kangding,,四川,30.142464,101.73872,14042,M
JZH,ZUJZ,九寨沟,黄龙,Jiuzhaigou,Huanglong,四川,32.8533333333,103.682222222,11327,M
AHJ,ZUHY,阿坝,红原,Aba,Hongyuan,四川,32.53154,102.35224,11600,M
GZG,ZUGZ,甘孜,格萨尔,Ganzi,Gesser,四川,31.7575,99.554167,-1,S
KWE,ZUGY,贵阳,龙洞堡,Guiyang,Longdongbao,贵州,26.5384998321533,106.801002502441,3736,L
GYS,ZUGU,广元,盘龙,Guangyuan,Panlong,四川,32.3911018371582,105.702003479003,-1,M
DAX,ZUDX,达州,河市,Dazhou,Heshi,四川,31.1302,107.4295,-1,S
DCY,ZUDC,稻城,亚丁,Daocheng,Yading,四川,29.323056,100.053333,14472,M
CKG,ZUCK,重庆,江北,Chongqing,Jiangbei,重庆,29.7192001342773,106.641998291015,1365,L
BZX,ZUBZ,巴中,恩阳,Bazhong,Enyang,四川,31.73842,106.644872,1804,S
BFJ,ZUBJ,毕节,飞雄,Bijie,Feixiong,贵州,27.267066,105.472097,4751,M
BPX,ZUBD,昌都,邦达,Qamdo,Bangda,西藏,30.5536003112792,97.1082992553711,14219,M
AVA,ZUAS,安顺,黄果树,Anshun,Huangguoshu,贵州,26.260556,105.873333,4812,M
NGQ,ZUAL,阿里,昆莎机场,Nagri,Gunsa,西藏,32.1,80.05305556,14022,M
HSN,ZSZS,舟山,普陀山,Zhoushan,Putuoshan,浙江,29.9342002869,122.361999512,3,S
YIW,ZSYW,义乌,,Yiwu,,浙江,29.3446998596,120.031997681,262,M
YNT,ZSYT,烟台,蓬莱,Yantai,Penglai,山东,37.657222,120.987222,59,M
YNZ,ZSYN,盐城,南洋,Yancheng,Nanyang,江苏,33.425833,120.203056,-1,S
YIC,ZSYC,宜春,明月山,Yichun,Mingyueshan,江西,27.8025,114.3062,430,M
YTY,ZSYA,扬州,泰州,Yangzhou,Taizhou,江苏,32.5634,119.7198,7,M
XUZ,ZSXZ,徐州,观音,Xuzhou,Guanyin,江苏,34.059056,117.555278,-1,M
WNZ,ZSWZ,温州,龙湾,Wenzhou,Longwan,浙江,27.912201,120.851997,-1,L
WUS,ZSWY,南平,武夷山,Nanping,Wuyishan,福建,27.7019,118.000999,614,M
WUX,ZSWX,无锡,硕放,Wuxi,Shuofang,江苏,31.4944000243999,120.429000854,24,M
WEH,ZSWH,威海,大水泊,Weihai,Dashuipo,山东,37.1870994567871,122.228996276855,145,M
WEF,ZSWF,潍坊,南苑,Weifang,Nanyuan,山东,36.646702,119.119003,-1,M
TXN,ZSTX,黄山,屯溪,Huangshan,Tunxi,安徽,29.733299255371,118.255996704101,-1,M
SHA,ZSSS,上海,虹桥,Shanghai,Hongqiao,上海,31.1979007720947,121.335998535156,10,L
SQD,ZSSR,上饶,三清山,Shangrao,Sanqingshan,江西,28.3797,117.9643,340,M
SQJ,ZSSM,三明,沙县,Sanming,Shaxian,福建,26.4263,117.8336,830,M
HIA,ZSSH,淮安,涟水,Huaian,Lianshui,江苏,33.7908333333,119.125,28,M
RIZ,ZSRZ,日照,山字河,Rizhao,Shanzihe,山东,35.405033,119.324403,121,M
JJN,ZSQZ,泉州,晋江,Quanzhou,Jinjiang,福建,24.7964,118.589996,-1,M
TAO,ZSQD,青岛,胶东,Qingdao,Jiaodong,山东,36.366667,120.083333,30,M
PVG,ZSPD,上海,浦东,Shanghai,Pudong,上海,31.1434001922607,121.805000305175,13,L
HFE,ZSOF,合肥,新桥,Hefei,Xinqiao,安徽,31.7800006866455,117.297996520996,207,M
NTG,ZSNT,南通,兴东,Nantong,Xingdong,江苏,32.0708007812,120.975997925,16,S
NKG,ZSNJ,南京,禄口,Nanjing,Lukou,江苏,31.7420005798339,118.861999511718,49,L
NGB,ZSNB,宁波,栎社,Ningbo,Lishe,浙江,29.8267002105712,121.461997985839,13,L
LYI,ZSLY,临沂,启阳,Linyi,Qiyang,山东,35.046100616455,118.412002563476,-1,S
HYN,ZSLQ,台州,路桥,Huangyan,Luqiao,浙江,28.5622005462646,121.429000854492,-1,M
LYG,ZSLG,连云港,花果山,Lianyungang,Huaguoshan,江苏,34.4130555555,119.177222222,-1,S
LCX,ZSLD,龙岩,冠豸山,Longyan,Guanzhaishan,福建,25.6746997833,116.747001648,1225,M
JUZ,ZSJU,衢州,,Quzhou,,浙江,28.965799,118.899002,-1,M
TNA,ZSJN,济南,遥墙,Jinan,Yaoqiang,山东,36.8572006225585,117.216003417968,76,L
JIU,ZSJJ,九江,庐山,Jiujiang,Lushan,江西,29.476944,115.801111,-1,S
JUH,ZSJH,池州,九华山,Chizhou,Jiuhuashan,安徽,30.7403,117.6856,60,S
JNG,ZSJG,济宁,曲阜,Jining,Qufu,山东,35.292778,116.346667,134,M
JDZ,ZSJD,景德镇,罗家,Jingdezhen,Luojia,江西,29.3386001587,117.176002502,112,M
JGS,ZSJA,吉安,井冈山,Ji'an,Jinggangshan,江西,26.8568992614999,114.736999512,281,M
HGH,ZSHC,杭州,萧山,Hangzhou,Xiaoshan,浙江,30.2294998168945,120.43399810791,23,L
KOW,ZSGZ,赣州,黄金,Ganzhou,Huangjin,江西,25.853333,114.778889,387,S
FOC,ZSFZ,福州,长乐,Fuzhou,Changle,福建,25.9351005554199,119.66300201416,46,L
FUG,ZSFY,阜阳,西关,Fuyang,Xiguan,安徽,32.882157,115.734364,104,M
DOY,ZSDY,东营,胜利,Dongying,Shengli,山东,37.510278,118.784444,15,M
KHN,ZSCN,南昌,昌北,Nanchang,Changbei,江西,28.8649997711181,115.900001525878,143,M
CZX,ZSCG,常州,奔牛,Changzhou,Benniu,江苏,31.919701,119.778999,-1,S
AQG,ZSAQ,安庆,天柱山,Anqing,Tianzhushan,安徽,30.582199,117.050003,-1,M
XMN,ZSAM,厦门,高崎,Xiamen,Gaoqi,福建,24.5440006256103,118.12799835205,59,L
ZAT,ZPZT,昭通,,Zhaotong,,云南,27.3255996704101,103.754997253417,-1,S
WNH,ZPWS,文山,砚山,Wenshan,Yanshan,云南,23.5583,104.3255,5217,S
SYM,ZPSM,普洱,思茅,Pu'er,Simao,云南,22.793301,100.959,-1,S
KMG,ZPPP,昆明,长水,Kunming,Changshui,云南,25.1019444,102.9291667,6903,L
NLH,ZPNL,宁蒗,泸沽湖,Ninglang,Luguhu,云南,27.5403,100.7593,10804,M
LUM,ZPMS,德宏,芒市,Dehong,Mangshi,云南,24.4011,98.5317,2890,M
LJG,ZPLJ,丽江,三义,Lijiang,Sanyi,云南,26.6800003052,100.246002197,-1,M
LNJ,ZPLC,临沧,博尚,Lincang,Boshang,云南,23.7381000519,100.025001526,6230,M
JMJ,ZPJM,澜沧,景迈,Lancang,Jingmai,云南,22.415833,99.786389,-1,M
JHG,ZPJH,西双版纳,嘎洒,Xishuangbanna,Gasa,云南,21.9738998413085,100.76000213623,1815,M
DIG,ZPDQ,迪庆,香格里拉,Diqing,Shangri-La,云南,27.7936,99.6772,10761,M
DLU,ZPDL,大理,荒草坝,Dali,Huangcaoba,云南,25.649401,100.319,7050,M
CWJ,ZPCW,沧源,佤山,Cangyuan,Washan,云南,23.273889,99.373611,-1,M
BSD,ZPBS,保山,云端,Baoshan,Yunduan,云南,25.053301,99.168297,5453,M
YZY,ZLZY,张掖,甘州,Zhangye,Ganzhou,甘肃,38.8018989563,100.675003052,5280,M
ZHY,ZLZW,中卫,沙坡头,Zhongwei,Shapotou,宁夏,37.573125,105.154454,8202,M
YUS,ZLYS,玉树,巴塘,Yushu,Batang,青海,32.839167,97.038889,-1,S
UYN,ZLYL,榆林,榆阳,Yulin,Yuyang,陕西,38.35971,109.590927,-1,S
ENY,ZLYA,延安,南泥湾,Yan'an,Nanniwan,陕西,36.479413,109.464083,3100,M
XIY,ZLXY,西安,咸阳,Xi'an,Xianyang,陕西,34.447102,108.751999,1572,L
XNN,ZLXN,西宁,曹家堡,Xining,Caojiapu,青海,36.5275,102.042999,7119,M
GXH,ZLXH,甘南,夏河,Gannan,Xiahe,甘肃,34.8105,102.6447,10510,M
THQ,ZLTS,天水,麦积山,Tianshui,Maijishan,甘肃,34.5593986511,105.86000061,3590,M
IQN,ZLQY,庆阳,西峰,Qingyang,Xifeng,甘肃,35.799702,107.602997,-1,M
LNL,ZLLN,陇南,成州,Longnan,Chengzhou,甘肃,33.788,105.797,3707,M
LHW,ZLLL,兰州,中川,Lanzhou,Zhongchuan,甘肃,36.5152015686,103.620002747,6388,M
JGN,ZLJQ,嘉峪关,,Jiayuguan,,甘肃,39.856899,98.3414,5112,M
JIC,ZLJC,金昌,金川,Jinchang,Jinchuan,甘肃,38.5422222221999,102.348333333,4740,S
INC,ZLIC,银川,河东,Yinchuan,Hedong,宁夏,38.322758,106.393214,-1,M
HZG,ZLHZ,汉中,城固,Hanzhong,Chenggu,陕西,33.134136,107.206014,-1,S
HTT,ZLHX,海西,花土沟,海西,Huatugou,青海,38.201984,90.841495,2945,M
HBQ,ZLHB,海北,祁连,Haibei,Qilian,青海,38.012,100.644,-1,S
GYU,ZLGY,固原,六盘山,Guyuan,Liupanshan,宁夏,36.07888889,106.2169444,5696,M
GOQ,ZLGM,格尔木,,Golmud,,青海,36.4006,94.786102,9334,M
GMQ,ZLGL,果洛,玛沁,Golog,Maqin,青海,34.418066,100.301144,12426,M
HXD,ZLDL,海西,德令哈,海西,Delingha,青海,37.125286,97.268658,9843,S
DNH,ZLDH,敦煌,莫高,Dunhuang,Mogao,甘肃,40.1610984802246,94.8091964721679,-1,M
AKA,ZLAK,安康,五里浦,Ankang,Wulipu,陕西,32.708099,108.931,1209,S
XYI,ZJYX,三沙,永兴,Sansha,Yongxing,海南,16.8328,112.344002,-1,S
SYX,ZJSY,三亚,凤凰,Sanya,Phoenix,海南,18.302900314331,109.412002563476,92,L
BAR,ZJQH,琼海,博鳌,Qionghai,Boao,海南,19.13824,110.454775,30,M
HAK,ZJHK,海口,美兰,Haikou,Meilan,海南,19.9349002838134,110.458999633789,75,L
YIH,ZHYC,宜昌,三峡,Yichang,Sanxia,湖北,30.55655,111.479988,673,M
XAI,ZHXY,信阳,明港,Xinyang,Minggang,河南,32.540819,114.079141,312,M
XFN,ZHXF,襄阳,刘集,Xiangyang,Liuji,湖北,32.1506,112.291,234,S
WDS,ZHSY,十堰,武当山,Shiyan,Wudangshan,湖北,32.591667,110.907778,-1,M
HPG,ZHSN,神农架,红坪,Shennongjia,Hongping,湖北,31.626,110.34,8365,M
NNY,ZHNY,南阳,姜营,Nanyang,Jiangying,河南,32.980801,112.614998,840,S
LYA,ZHLY,洛阳,北郊,Luoyang,Beijiao,河南,34.7411003112999,112.388000488,840,S
WUH,ZHHH,武汉,天河,Wuhan,Tianhe,湖北,30.7838,114.208,113,L
ENH,ZHES,恩施,许家坪,Enshi,Xujiaping,湖北,30.3202991486,109.48500061,1605,S
CGO,ZHCC,郑州,新郑,Zhengzhou,Xinzheng,河南,34.5196990966999,113.841003418,495,L
ZHA,ZGZJ,湛江,,Zhanjiang,,广东,21.214399,110.358002,125,M
LZH,ZGZH,柳州,白莲,Liuzhou,Bailian,广西,24.2075,109.390999,295,M
YYA,ZGYY,岳阳,三荷,Yueyang,Sanhe,湖南,29.311699,113.281574,230,M
WUZ,ZGWZ,梧州,西江,WuZhou,XiJiang,广西,23.40316,111.09331,89,M
SZX,ZGSZ,深圳,宝安,Shenzhen,Baoan,广东,22.6392993927001,113.810997009277,13,L
WGN,ZGSY,邵阳,武冈,Shaoyang,Wugang,湖南,26.802,110.642,1444,M
ZUH,ZGSD,珠海,金湾,Zhuhai,Jinwan,广东,22.006399,113.375999,23,M
SWA,ZGOW,揭阳,潮汕,Jieyang,Chaoshan,广东,23.552,116.5033,-1,M
NNG,ZGNN,南宁,吴圩,Nanning,Wuxu,广西,22.608299255371,108.171997070312,421,L
MXZ,ZGMX,梅州,梅县,Meizhou,Meixian,广东,24.3500003814697,116.133003234863,312,S
LLF,ZGLG,永州,零陵,Yongzhou,Lingling,湖南,26.338661,111.610043,340,M
KWL,ZGKL,桂林,两江,Guilin,Liangjiang,广西,25.2180995941162,110.039001464843,570,L
HUZ,ZGHZ,惠州,平潭,Huizhou,Pingtan,广东,23.0499992371,114.599998474,50,M
HNY,ZGHY,衡阳,南岳,Hengyang,Nanyue,湖南,26.9053,112.627998,-1,S
HCJ,ZGHC,河池,金城江,Hechi,Jinchengjiang,广西,24.805,107.6997,2221,M
CSX,ZGHA,长沙,黄花,Changsha,Huanghua,湖南,28.1891994475999,113.220001221,217,L
CAN,ZGGG,广州,白云,Guangzhou,Baiyun,广东,23.3924007415771,113.299003601074,50,L
FUO,ZGFS,佛山,沙堤,Foshan,Shadi,广东,23.0832996367999,113.069999695,6,M
DYG,ZGDY,张家界,荷花,Zhangjiajie,Hehua,湖南,29.1028,110.443001,692,S
HJJ,ZGCJ,怀化,芷江,Huaihua,Zhijiang,湖南,27.4411111111,109.7,882,M
CGD,ZGCD,常德,桃花源,Changde,Taohuayuan,湖南,28.9188995361,111.63999939,128,M
AEB,ZGBS,百色,右江,Baise,Youjiang,广西,23.7206001282,106.959999084,490,M
BHY,ZGBH,北海,福成,Beihai,Fucheng,广西,21.5394,109.293999,-1,S
NZL,ZBZL,扎兰屯,成吉思汗,Zhalantun,Chengjisihan,内蒙古,47.865833,122.767503,928,M
ZQZ,ZBZJ,张家口,宁远,Zhangjiakou,Ningyuan,河北,40.7386016846,114.930000305,2347,M
RLK,ZBYZ,巴彦淖尔,天吉泰,Bavannur,Tianjitai,内蒙古,40.926,107.7428,3400,M
TYN,ZBYN,太原,武宿,Taiyuan,Wusu,山西,37.746898651123,112.62799835205,2575,L
YCU,ZBYC,运城,张孝,Yuncheng,Zhangxiao,山西,35.116391,111.031388889,1242,S
WUT,ZBXZ,忻州,五台山,Xinzhou,Wutaishan,山西,38.597456,112.969173,2527,S
XIL,ZBXH,锡林浩特,,Xilinhot,,内蒙古,43.915599822998,115.963996887207,-1,M
HLH,ZBUL,乌兰浩特,,Ulanhot,,内蒙古,46.195333,122.008333,-1,S
WUA,ZBUH,乌海,,Wuhai,,内蒙古,39.7934,106.7993,3650,S
UCB,ZBUC,乌兰察布,集宁,Ulanqab,Tsining,内蒙古,41.129722,113.108056,-1,M
TVS,ZBTS,唐山,三女河,Tangshan,Sannvhe,河北,39.7178001404,118.002624512,50,S
TGO,ZBTL,通辽,,Tongliao,,内蒙古,43.556702,122.199997,2395,M
TSN,ZBTJ,天津,滨海,Tianjin,Binhai,天津,39.1244010924999,117.346000671,10,L
SJW,ZBSJ,石家庄,正定,Shijiazhuang,Zhengding,河北,38.2807006835937,114.696998596191,233,M
BAV,ZBOW,包头,东河,Baotou,Donghe,内蒙古,40.560001373291,109.997001647949,3321,M
NAY,ZBNY,北京,南苑,Beijing,Nanyuan,北京,39.7827987670898,116.388000488281,-1,L
NZH,ZBMZ,满洲里,西郊,Manzhouli,Xijiao,内蒙古,49.566667,117.33,2231,M
LLV,ZBLL,吕梁,大武,Lvliang,Dawu,山西,37.683333,111.142778,-1,M
LFQ,ZBLF,临汾,尧都,Linfen,Yaodu,山西,36.132629,111.641236,1483,M
HLD,ZBLA,呼伦贝尔,海拉尔,Hulunbeier,Hailar,内蒙古,49.205002,119.824997,2169,M
HUO,ZBHZ,霍林郭勒,霍林河,Holingol,Huolinhe,内蒙古,45.487222,119.407222,-1,M
HET,ZBHH,呼和浩特,白塔,Hohhot,Baita,内蒙古,40.851398,111.823997,3556,L
HDG,ZBHD,邯郸,,Handan,,河北,36.5258333333,114.425555556,229,M
YIE,ZBES,阿尔山,伊尔施,Arxan,Yi'ersh,内蒙古,47.3106,119.9117,2925,M
ERL,ZBER,二连浩特,赛乌素,Erenhot,Saiwusu,内蒙古,43.4225,112.096667,3301,M
EJN,ZBEN,额济纳旗,桃来,Ejinaqi,Taolai,内蒙古,42.0155,101.0005,3077,S
DAT,ZBDT,大同,云冈,Datong,Yungang,山西,40.060299,113.482002,3442,S
DSN,ZBDS,鄂尔多斯,伊金霍洛,Ordos,Ejin Horo,内蒙古,39.49,109.861388889,4557,M
BPE,ZBDH,秦皇岛,北戴河,Qinhuangdao,Beidaihe,河北,39.666389,119.058889,46,M
CIH,ZBCZ,长治,王村,Changzhi,Wangcun,山西,36.247501,113.125999,-1,S
CIF,ZBCF,赤峰,玉龙,Chifeng,Yulong,内蒙古,42.2350006103515,118.907997131347,-1,M
CDE,ZBCD,承德,普宁,Chengde,Puning,河北,41.1225,118.073889,-1,M
BHT,ZBAR,阿拉善右旗,巴丹吉林,Alax Youqi,Badain Jaran,内蒙古,39.225,101.546,4659,S
RHT,ZBAR,巴丹吉林,,Badanjilin,,内蒙古,39.225,101.546,4659,S
AXF,ZBAL,阿拉善左旗,巴彦浩特,Alax Zuoqi,Bayanhot,内蒙古,38.74831,105.58858,4560,M
PKX,ZBAD,北京,大兴,Beijing,Daxing,北京,39.509945,116.41092,98,L
PEK,ZBAA,北京,首都,Beijing,Capital,北京,40.0801010131835,116.584999084472,116,L
MFM,VMMC,澳门,,Macau,,澳门,22.149599,113.592003,20,L
HKG,VHHH,香港,,Hong Kong,,香港,22.308901,113.915001,28,L
HUN,RCYU,花莲,,Hualien,,台湾,24.0230998992919,121.61799621582,52,M
TPE,RCTP,台北,桃园,Taipei,Taoyuan,台湾,25.0777,121.233002,106,L
TSA,RCSS,台北,松山,Taipei,Songshan,台湾,25.0694007873535,121.552001953125,18,M
PIF,RCSQ,屏东,,Pingtung,,台湾,22.7001991271972,120.4820022583,97,M
MZG,RCQC,澎湖,马公,Penghu,Makung,台湾,23.5687007904052,119.62799835205,103,M
TNN,RCNN,台南,,Tainan,,台湾,22.9503993988037,120.206001281738,63,M
MFK,RCMT,马祖,北竿,Matsu,Beigan,福建,26.224199,120.002998,41,M
RMQ,RCMQ,台中,清泉岗,Taichung,Ching Chuang Kang,台湾,24.264699935913,120.621002197265,663,M
KYD,RCLY,兰屿,,Lanyu,,台湾,22.027000427246,121.535003662109,44,M
HCN,RCKW,恒春,,Hengchung,,台湾,22.0410995483398,120.730003356933,46,M
CYI,RCKU,嘉义,,Chiayi,,台湾,23.461799621582,120.392997741699,85,M
KHH,RCKH,高雄,,Kaohsiung,,台湾,22.5771007537841,120.349998474121,31,L
TTT,RCFN,台东,丰宁,Taitung,Fengnin,台湾,22.7549991607666,121.101997375488,143,M
LZN,RCFG,马祖,南竿,Matsu,Nangan,福建,26.1598,119.958,232,M
KNH,RCBS,金门,,Kinmen,,台湾,24.4279,118.359001,93,L
