iata,icao,city,airport,city_eng,airport_eng,province,latitude,longitude,elevation,type
YKH,ZYYK,营口,兰旗,Yingkou,Lanqi,辽宁,40.542524,122.3586,-1,M
YNJ,ZYYJ,延吉,朝阳川,Yanji,Chaoyangchuan,吉林,42.8828010559,129.451004028,624,M
SHE,ZYTX,沈阳,桃仙,Shenyang,Taoxian,辽宁,41.6398010253906,123.483001708984,198,L
TNH,ZYTN,通化,三源浦,Tonghua,Sanyuanpu,吉林,42.2538888889,125.703333333,1200,M
DLC,ZYTL,大连,周水子,Dalian,Zhoushuizi,辽宁,38.9656982421875,121.539001464843,107,L
YSQ,ZYSQ,松原,查干湖,Songyuan,Chaganhu,吉林,44.938114,124.550178,459,M
NDG,ZYQQ,齐齐哈尔,三家子,Qiqihar,Sanjiazi,黑龙江,47.2396011352539,123.917999267578,477,M
OHE,ZYMH,漠河,古莲,Mohe,Gulian,黑龙江,52.9127777777999,122.43,1836,M
MDG,ZYMD,牡丹江,海浪,Mudanjiang,Hailang,黑龙江,44.5241012573,129.569000244,883,M
LDS,ZYLD,伊春,林都,Yichun,Lindu,黑龙江,47.7520555556,129.019125,791,M
JNZ,ZYJZ,锦州,锦州湾,Jinzhou,Jinzhouwan,辽宁,41.1013984680175,121.06199645996,-1,M
JXA,ZYJX,鸡西,兴凯湖,Jixi,Xingkaihu,黑龙江,45.293,131.193,760,M
JSJ,ZYJS,建三江,湿地,Jiansanjiang,Shidi,黑龙江,47.11,132.660278,-1,M
JMU,ZYJM,佳木斯,,Jiamusi,,黑龙江,46.8433990478999,130.464996338,262,M
JGD,ZYJD,大兴安岭,鄂伦春,Da Hinggan Ling,Oroqen,黑龙江,50.371389,124.1175,1205,M
HEK,ZYHE,黑河,瑷珲,Heihe,Aihui,黑龙江,50.1716209371,127.308883667,1047,M
HRB,ZYHB,哈尔滨,太平,Harbin,Taiping,黑龙江,45.623403,126.250328,457,M
FYJ,ZYFY,抚远,东极,Fuyuan,Dongji,黑龙江,48.199494,134.366447,-1,M
DTU,ZYDU,五大连池,德都,Wudalianchi,Dedu,黑龙江,48.445,126.133,984,M
DQA,ZYDQ,大庆,萨尔图,Daqing,Sartu,黑龙江,46.7463888889,125.140555556,496,S
DDG,ZYDD,丹东,浪头,Dandong,Langtou,辽宁,40.0247,124.286003,-1,M
CHG,ZYCY,朝阳,,Chaoyang,,辽宁,41.538101,120.434998,568,M
CNI,ZYCH,长海,大长山岛,Changhai,Dachangshandao,辽宁,39.266667,122.666944,80,S
CGQ,ZYCC,长春,龙嘉,Changchun,Longjia,吉林,43.9962005615,125.684997559,706,M
