x, y, z
0.058963, -0.037641, -0.042201
0.059158, -0.037334, -0.041522
0.059351, -0.037026, -0.040844
0.059543, -0.036717, -0.040166
0.059734, -0.036405, -0.039489
0.060113, -0.035776, -0.038138
0.060488, -0.035138, -0.036792
0.060859, -0.034491, -0.035452
0.061227, -0.033834, -0.034117
0.061589, -0.033169, -0.032787
0.061948, -0.032495, -0.031462
0.062302, -0.031811, -0.030142
0.062651, -0.031118, -0.028828
0.062995, -0.030415, -0.027520
0.063334, -0.029703, -0.026217
0.063668, -0.028980, -0.024920
0.063996, -0.028248, -0.023629
0.064319, -0.027506, -0.022344
0.064633, -0.026758, -0.021060
0.064942, -0.026001, -0.019783
0.065244, -0.025232, -0.018512
0.065541, -0.024451, -0.017250
0.065831, -0.023659, -0.015995
0.066115, -0.022853, -0.014750
0.066392, -0.022034, -0.013513
0.066663, -0.021203, -0.012285
0.066925, -0.020358, -0.011066
0.067180, -0.019500, -0.009855
0.067427, -0.018630, -0.008654
0.067665, -0.017745, -0.007463
0.067895, -0.016846, -0.006282
0.068115, -0.015932, -0.005112
0.068326, -0.015001, -0.003954
0.068527, -0.014053, -0.002808
0.068718, -0.013089, -0.001675
0.068897, -0.012110, -0.000553
0.069064, -0.011118, 0.000559
0.069219, -0.010112, 0.001662
0.069359, -0.009095, 0.002756
0.069487, -0.008063, 0.003839
0.069601, -0.007010, 0.004905
0.069701, -0.005931, 0.005950
0.069787, -0.004820, 0.006968
0.069857, -0.003673, 0.007955
0.069909, -0.002488, 0.008910
0.069942, -0.001267, 0.009834
0.069953, -0.000007, 0.010724
0.069941, 0.001299, 0.011574
0.069903, 0.002657, 0.012377
0.069834, 0.004077, 0.013126
0.069787, 0.004822, 0.013468
0.069728, 0.005604, 0.013778
0.069656, 0.006440, 0.014040
0.069565, 0.007361, 0.014226
0.069474, 0.008175, 0.014306
0.069422, 0.008602, 0.014328
0.069363, 0.009068, 0.014315
0.069327, 0.009340, 0.014274
0.069304, 0.009505, 0.014228
0.069290, 0.009607, 0.014187
0.069269, 0.009762, 0.014100
0.069235, 0.009999, 0.013841
0.069228, 0.010045, 0.013750
0.069220, 0.010101, 0.013601
0.069212, 0.010154, 0.013355
0.069210, 0.010169, 0.012943
0.069217, 0.010123, 0.012584
0.069247, 0.009916, 0.011970
0.069297, 0.009557, 0.011291
0.069349, 0.009174, 0.010632
0.069401, 0.008769, 0.009993
0.069454, 0.008339, 0.009375
0.069557, 0.007431, 0.008181
0.069651, 0.006499, 0.007008
0.069733, 0.005547, 0.005851
0.069803, 0.004577, 0.004709
0.069861, 0.003591, 0.003581
0.069905, 0.002592, 0.002463
0.069935, 0.001582, 0.001354
0.069951, 0.000564, 0.000251
0.069952, -0.000460, -0.000846
0.069937, -0.001488, -0.001939
0.069908, -0.002518, -0.003030
0.069863, -0.003548, -0.004120
0.069803, -0.004577, -0.005211
0.069728, -0.005605, -0.006303
0.069638, -0.006631, -0.007395
0.069533, -0.007655, -0.008487
0.069413, -0.008677, -0.009579
0.069278, -0.009698, -0.010671
0.069127, -0.010717, -0.011762
0.068962, -0.011733, -0.012854
0.068782, -0.012748, -0.013946
0.068587, -0.013759, -0.015037
0.068377, -0.014767, -0.016129
0.068152, -0.015773, -0.017221
0.067912, -0.016774, -0.018312
0.067658, -0.017772, -0.019404
0.067389, -0.018766, -0.020496
0.067105, -0.019757, -0.021587
0.066807, -0.020742, -0.022679
0.066495, -0.021724, -0.023771
0.066168, -0.022700, -0.024863
0.065826, -0.023672, -0.025954
0.065471, -0.024639, -0.027046
0.065101, -0.025600, -0.028138
0.064717, -0.026556, -0.029229
0.064319, -0.027506, -0.030321
0.063907, -0.028450, -0.031413
0.063494, -0.029359, -0.032532
0.063057, -0.030286, -0.033628
0.062607, -0.031206, -0.034725
0.062143, -0.032120, -0.035821
0.061666, -0.033026, -0.036917
0.061176, -0.033926, -0.038014
0.060672, -0.034819, -0.039110
0.060156, -0.035704, -0.040206
0.059893, -0.036143, -0.040754
0.059626, -0.036581, -0.041303
0.059357, -0.037017, -0.041851
0.059084, -0.037450, -0.042399
