airport,passenger_rank,passenger_2019,passenger_2018,cargomail_rank,cargomail_2019,cargomail_2018,cycles_rank,cycles_2019,cycles_2018
PEK,1,100013642.0,100983290.0,2,1955286.0,2074005.4,1,594329,614022.0
PVG,2,76153455.0,74006331.0,1,3634230.4,3768572.6,2,511846,504794.0
CAN,3,73378475.0,69720403.0,3,1919926.9,1890560.0,3,491249,477364.0
CTU,4,55858552.0,52950529.0,6,671903.9,665128.4,5,366887,352124.0
SZX,5,52931925.0,49348950.0,4,1283385.6,1218502.2,4,370180,355907.0
KMG,6,48075978.0,47088140.0,9,415776.3,428292.1,6,357080,360785.0
XIY,7,47220547.0,44653311.0,11,381869.6,312637.1,7,345748,330477.0
SHA,8,45637882.0,43628004.0,8,423614.7,407154.6,10,272928,266790.0
CKG,9,44786722.0,41595887.0,10,410928.6,382160.8,8,318398,300745.0
HGH,10,40108405.0,38241630.0,5,690275.9,640896.0,9,290919,284893.0
NKG,11,30581685.0,28581546.0,12,374633.5,365054.4,11,234869,220849.0
CGO,12,29129328.0,27334730.0,7,522021.0,514922.4,12,216399,209646.0
XMN,13,27413363.0,26553438.0,13,330511.6,345529.1,16,192929,193385.0
WUH,14,27150246.0,24500356.0,15,243193.4,221576.3,13,203131,187699.0
CSX,15,26911393.0,25266251.0,18,175724.5,155513.1,15,196213,186772.0
TAO,16,25556278.0,24535738.0,14,256298.8,224533.8,18,186500,182642.0
HAK,17,24216552.0,24123582.0,19,175566.5,168622.2,22,164786,165186.0
URC,18,23963167.0,23027788.0,21,172800.5,157725.8,19,178234,176346.0
TSN,19,23813318.0,23591412.0,16,226162.7,258734.8,20,167869,179414.0
KWE,20,21910911.0,20094681.0,28,120110.2,112396.2,21,167063,158567.0
HRB,21,20779745.0,20431432.0,23,135923.2,125042.0,24,147795,146416.0
SHE,22,20544044.0,19027398.0,17,192477.6,168558.0,25,145350,137661.0
SYX,23,20163655.0,20039035.0,30,99821.0,95132.9,28,124813,123507.0
DLC,24,20079995.0,18758171.0,20,173533.8,161887.3,23,154976,146652.0
TNA,25,17560507.0,16611795.0,24,135263.0,113627.9,26,129994,126828.0
NNG,26,15762341.0,15091614.0,27,122248.9,118035.6,30,114658,113474.0
LHW,27,15302975.0,13858151.0,35,72001.6,61450.4,29,119183,109902.0
FOC,28,14760226.0,14393532.0,25,131071.5,133189.4,31,112746,110243.0
TYN,29,14002582.0,13588423.0,37,57626.0,53402.1,34,108275,107930.0
CGQ,30,13934969.0,12969503.0,31,88901.6,83093.0,37,98816,92807.0
KHN,31,13637151.0,13524159.0,26,122517.3,82604.4,35,108036,108614.0
HET,32,13151840.0,12159175.0,41,46157.1,40210.1,32,112159,105328.0
NGB,33,12414007.0,11718416.0,29,106120.2,105673.2,42,89487,85434.0
WNZ,34,12291707.0,11218701.0,33,81106.6,80189.5,40,92296,86362.0
ZUH,35,12282982.0,11220703.0,40,50989.4,46393.0,43,88989,85380.0
HFE,36,12282384.0,11110596.0,32,87101.6,69787.3,38,95135,89005.0
SJW,37,11922801.0,11332518.0,39,53229.7,46145.9,41,90970,89717.0
INC,38,10575393.0,8944837.0,36,61245.8,50733.5,47,84734,75635.0
YNT,39,10052929.0,8433179.0,38,57060.9,51465.0,44,86441,75500.0
KWL,40,8552654.0,8732176.0,46,30313.2,27074.5,49,68126,71364.0
JJN,41,8435805.0,7443161.0,34,75294.6,63845.4,50,65012,58319.0
WUX,42,7973446.0,7207529.0,22,145128.2,123818.9,52,62483,56066.0
SWA,43,7353521.0,6493930.0,47,27810.9,25249.7,56,55905,55564.0
XNN,44,7226518.0,6339622.0,43,41030.7,33879.1,54,61218,55064.0
LJG,45,7173986.0,7529935.0,50,12616.0,11329.9,59,54255,56932.0
JHG,46,5524284.0,4446247.0,66,8418.2,13207.2,64,43034,34828.0
NAY,47,5060412.0,6512740.0,48,15513.5,25122.2,72,33521,44468.0
LXA,48,4572428.0,4353948.0,44,39320.2,36320.4,67,39065,36224.0
MIG,49,4159370.0,3938882.0,62,8860.4,7586.7,17,189897,176550.0
CZX,50,4052342.0,3327722.0,45,33161.0,28170.1,57,55446,45676.0
NTG,51,3484484.0,2771326.0,42,42263.1,42989.9,70,34580,33781.0
YIH,52,3263912.0,2948668.0,81,4597.4,4441.1,45,86190,76526.0
PKX,53,3135074.0,,70,7362.3,,88,21048,
WEH,54,3090766.0,2508155.0,60,9228.1,6764.6,77,25694,20889.0
XUZ,55,3005875.0,2518799.0,52,12068.7,10065.7,60,49648,51770.0
ZHA,56,2983501.0,2559507.0,77,6062.0,5945.1,73,30933,28961.0
YTY,57,2979668.0,2384382.0,51,12440.6,11136.8,65,41422,50590.0
DYG,58,2870898.0,2209911.0,99,1779.9,1176.0,78,25570,20583.0
DSN,59,2695925.0,2475281.0,59,10046.6,9984.4,71,34155,33156.0
BHY,60,2679101.0,2282218.0,71,7216.7,6446.1,89,20831,18427.0
LYI,61,2580823.0,2006104.0,58,10245.5,8036.5,86,21601,16953.0
HLD,62,2558413.0,2328816.0,75,6247.8,5767.4,85,21684,20126.0
HUZ,63,2553545.0,1879645.0,61,8915.7,5501.3,92,20251,15110.0
UYN,64,2531468.0,2090209.0,68,8017.6,5527.1,82,23906,20835.0
YCU,65,2484569.0,2052654.0,76,6078.2,5081.2,69,37761,34630.0
KHG,66,2433209.0,2060100.0,55,10383.9,8225.0,91,20736,17643.0
HIA,67,2347566.0,1516272.0,57,10259.3,6286.0,63,45573,26082.0
BAV,68,2265867.0,2032157.0,69,7837.4,7144.6,94,19533,18980.0
ZYI,69,2257147.0,2033587.0,82,3611.9,2315.9,90,20759,18902.0
KRL,70,2202333.0,1743761.0,63,8743.7,7646.0,80,24222,17906.0
LUM,71,2122958.0,1813896.0,53,10758.9,8330.2,100,18160,15528.0
YNZ,72,2090304.0,1822173.0,64,8684.4,6587.1,98,19099,16711.0
KOW,73,2088731.0,1625224.0,80,5664.9,5063.1,102,17789,14998.0
YIW,74,2029109.0,1635673.0,54,10612.9,8800.1,108,15511,12558.0
LYG,75,1922824.0,1516195.0,84,3342.9,2906.4,101,18118,14978.0
XFN,76,1899458.0,1406384.0,87,2848.7,2632.3,46,85596,69833.0
CIF,77,1893600.0,1572060.0,89,2362.1,2144.0,104,17451,14988.0
LZO,78,1861445.0,235360.0,74,6645.3,608.8,96,19414,2317.0
DLU,79,1773857.0,1776364.0,72,6870.6,6723.9,107,17331,17293.0
AKU,80,1711210.0,1292215.0,67,8252.7,6633.3,106,17356,11590.0
YNJ,81,1662608.0,1513262.0,78,5740.6,5459.7,115,13996,12638.0
WMT,82,1652124.0,1005463.0,126,1003.7,309.1,105,17370,10479.0
HTN,83,1596218.0,1217504.0,79,5704.7,3262.7,113,14507,10113.0
LZH,84,1571055.0,1347142.0,65,8671.9,5847.5,116,13864,12616.0
LYA,85,1537355.0,1313764.0,118,1151.5,1326.2,14,196542,180226.0
WDS,86,1524107.0,1182546.0,123,1041.5,502.2,109,15087,12520.0
HSN,87,1521949.0,1209675.0,142,622.6,112.4,81,24190,24542.0
JNG,88,1487810.0,1221518.0,86,2974.9,2659.7,123,11608,10178.0
YIN,89,1477371.0,1332536.0,73,6789.5,4885.8,117,13820,12493.0
ENH,90,1426920.0,1039311.0,106,1629.8,1704.6,119,12987,9434.0
ACX,91,1384614.0,1120857.0,109,1364.2,1139.0,111,14814,12383.0
HYN,92,1381321.0,1112199.0,56,10278.5,7581.4,127,10333,8268.0
