x, y, z
0.080594, -0.068513, -0.049360
0.081084, -0.067932, -0.048488
0.081571, -0.067348, -0.047615
0.082054, -0.066759, -0.046744
0.082533, -0.066165, -0.045874
0.083481, -0.064965, -0.044141
0.084416, -0.063745, -0.042418
0.085338, -0.062506, -0.040704
0.086245, -0.061248, -0.039000
0.087137, -0.059972, -0.037305
0.088014, -0.058677, -0.035620
0.088876, -0.057363, -0.033944
0.089723, -0.056030, -0.032279
0.090553, -0.054678, -0.030624
0.091367, -0.053307, -0.028980
0.092163, -0.051917, -0.027346
0.092943, -0.050509, -0.025724
0.093704, -0.049082, -0.024112
0.094445, -0.047642, -0.022503
0.095167, -0.046182, -0.020906
0.095870, -0.044704, -0.019322
0.096555, -0.043205, -0.017752
0.097220, -0.041685, -0.016197
0.097867, -0.040145, -0.014658
0.098493, -0.038584, -0.013135
0.099098, -0.037002, -0.011629
0.099682, -0.035399, -0.010140
0.100243, -0.033775, -0.008667
0.100782, -0.032132, -0.007210
0.101298, -0.030467, -0.005772
0.101790, -0.028781, -0.004352
0.102258, -0.027072, -0.002954
0.102700, -0.025340, -0.001577
0.103118, -0.023584, -0.000224
0.103508, -0.021806, 0.001107
0.103871, -0.020007, 0.002417
0.104205, -0.018188, 0.003709
0.104509, -0.016352, 0.004984
0.104782, -0.014500, 0.006243
0.105024, -0.012627, 0.007480
0.105235, -0.010728, 0.008687
0.105414, -0.008798, 0.009854
0.105560, -0.006828, 0.010972
0.105671, -0.004816, 0.012032
0.105744, -0.002758, 0.013034
0.105778, -0.000658, 0.013977
0.105770, 0.001488, 0.014858
0.105716, 0.003686, 0.015666
0.105613, 0.005946, 0.016387
0.105456, 0.008275, 0.017007
0.105355, 0.009480, 0.017258
0.105235, 0.010728, 0.017448
0.105093, 0.012038, 0.017550
0.104922, 0.013447, 0.017512
0.104759, 0.014663, 0.017354
0.104669, 0.015295, 0.017241
0.104568, 0.015971, 0.017066
0.104508, 0.016355, 0.016913
0.104473, 0.016581, 0.016789
0.104451, 0.016716, 0.016695
0.104419, 0.016914, 0.016514
0.104377, 0.017173, 0.016055
0.104371, 0.017211, 0.015905
0.104366, 0.017243, 0.015668
0.104366, 0.017239, 0.015289
0.104385, 0.017124, 0.014680
0.104415, 0.016938, 0.014171
0.104496, 0.016432, 0.013341
0.104612, 0.015681, 0.012467
0.104725, 0.014902, 0.011631
0.104837, 0.014096, 0.010831
0.104946, 0.013261, 0.010072
0.105150, 0.011533, 0.008629
0.105328, 0.009775, 0.007224
0.105478, 0.007993, 0.005849
0.105599, 0.006187, 0.004503
0.105690, 0.004363, 0.003180
0.105750, 0.002523, 0.001878
0.105778, 0.000670, 0.000592
0.105774, -0.001192, -0.000682
0.105736, -0.003061, -0.001945
0.105665, -0.004933, -0.003203
0.105561, -0.006807, -0.004455
0.105424, -0.008680, -0.005707
0.105253, -0.010550, -0.006959
0.105049, -0.012415, -0.008213
0.104813, -0.014276, -0.009467
0.104543, -0.016132, -0.010722
0.104241, -0.017983, -0.011977
0.103905, -0.019829, -0.013231
0.103537, -0.021669, -0.014486
0.103137, -0.023502, -0.015740
0.102704, -0.025327, -0.016993
0.102238, -0.027145, -0.018247
0.101741, -0.028954, -0.019501
0.101211, -0.030754, -0.020755
0.100650, -0.032544, -0.022009
0.100057, -0.034324, -0.023263
0.099432, -0.036093, -0.024517
0.098777, -0.037851, -0.025771
0.098090, -0.039597, -0.027025
0.097372, -0.041330, -0.028279
0.096624, -0.043051, -0.029533
0.095845, -0.044758, -0.030787
0.095036, -0.046450, -0.032041
0.094197, -0.048129, -0.033296
0.093329, -0.049792, -0.034550
0.092431, -0.051439, -0.035804
0.091504, -0.053070, -0.037058
0.090568, -0.054653, -0.038363
0.089587, -0.056246, -0.039625
0.088579, -0.057821, -0.040888
0.087543, -0.059377, -0.042151
0.086480, -0.060916, -0.043413
0.085390, -0.062435, -0.044676
0.084273, -0.063935, -0.045938
0.083129, -0.065414, -0.047201
0.082548, -0.066147, -0.047832
0.081960, -0.066874, -0.048463
0.081366, -0.067595, -0.049095
0.080765, -0.068312, -0.049726
