x, y, z
0.067204, -0.056606, -0.049984
0.067595, -0.056138, -0.049138
0.067983, -0.055668, -0.048292
0.068368, -0.055195, -0.047448
0.068750, -0.054718, -0.046604
0.069508, -0.053752, -0.044923
0.070256, -0.052770, -0.043249
0.070995, -0.051772, -0.041584
0.071723, -0.050758, -0.039927
0.072441, -0.049728, -0.038277
0.073148, -0.048682, -0.036635
0.073844, -0.047620, -0.035002
0.074528, -0.046542, -0.033377
0.075201, -0.045447, -0.031761
0.075861, -0.044336, -0.030154
0.076509, -0.043209, -0.028555
0.077144, -0.042065, -0.026966
0.077765, -0.040904, -0.025386
0.078370, -0.039733, -0.023808
0.078961, -0.038545, -0.022241
0.079538, -0.037340, -0.020684
0.080101, -0.036116, -0.019138
0.080650, -0.034874, -0.017606
0.081183, -0.033613, -0.016087
0.081702, -0.032332, -0.014581
0.082204, -0.031033, -0.013090
0.082690, -0.029714, -0.011612
0.083159, -0.028376, -0.010148
0.083610, -0.027019, -0.008698
0.084042, -0.025642, -0.007262
0.084456, -0.024245, -0.005843
0.084850, -0.022827, -0.004441
0.085224, -0.021386, -0.003058
0.085578, -0.019923, -0.001694
0.085911, -0.018438, -0.000349
0.086220, -0.016933, 0.000979
0.086505, -0.015409, 0.002291
0.086765, -0.013868, 0.003589
0.087000, -0.012312, 0.004874
0.087209, -0.010735, 0.006141
0.087391, -0.009133, 0.007382
0.087546, -0.007499, 0.008590
0.087673, -0.005826, 0.009757
0.087771, -0.004110, 0.010876
0.087835, -0.002348, 0.011946
0.087865, -0.000543, 0.012967
0.087857, 0.001308, 0.013936
0.087808, 0.003212, 0.014843
0.087714, 0.005177, 0.015678
0.087570, 0.007214, 0.016428
0.087476, 0.008274, 0.016754
0.087365, 0.009377, 0.017029
0.087232, 0.010542, 0.017231
0.087070, 0.011807, 0.017315
0.086913, 0.012910, 0.017275
0.086826, 0.013485, 0.017227
0.086727, 0.014104, 0.017127
0.086669, 0.014461, 0.017022
0.086633, 0.014673, 0.016930
0.086611, 0.014802, 0.016858
0.086578, 0.014994, 0.016712
0.086531, 0.015264, 0.016322
0.086523, 0.015310, 0.016191
0.086514, 0.015358, 0.015982
0.086509, 0.015385, 0.015641
0.086519, 0.015332, 0.015086
0.086541, 0.015208, 0.014613
0.086607, 0.014823, 0.013826
0.086708, 0.014223, 0.012979
0.086809, 0.013595, 0.012164
0.086909, 0.012940, 0.011379
0.087008, 0.012255, 0.010628
0.087197, 0.010827, 0.009189
0.087366, 0.009370, 0.007782
0.087512, 0.007887, 0.006400
0.087635, 0.006382, 0.005042
0.087732, 0.004857, 0.003704
0.087804, 0.003316, 0.002382
0.087849, 0.001763, 0.001075
0.087867, 0.000199, -0.000222
0.087856, -0.001372, -0.001511
0.087817, -0.002947, -0.002795
0.087750, -0.004524, -0.004075
0.087655, -0.006101, -0.005353
0.087531, -0.007675, -0.006633
0.087379, -0.009246, -0.007914
0.087199, -0.010813, -0.009195
0.086991, -0.012377, -0.010476
0.086755, -0.013936, -0.011758
0.086490, -0.015492, -0.013039
0.086198, -0.017042, -0.014320
0.085878, -0.018588, -0.015600
0.085531, -0.020127, -0.016881
0.085155, -0.021660, -0.018162
0.084753, -0.023185, -0.019443
0.084323, -0.024704, -0.020723
0.083865, -0.026214, -0.022004
0.083381, -0.027715, -0.023285
0.082870, -0.029208, -0.024566
0.082332, -0.030692, -0.025847
0.081768, -0.032165, -0.027128
0.081177, -0.033628, -0.028409
0.080560, -0.035081, -0.029689
0.079917, -0.036522, -0.030970
0.079248, -0.037951, -0.032251
0.078554, -0.039368, -0.033532
0.077835, -0.040772, -0.034813
0.077090, -0.042163, -0.036094
0.076320, -0.043541, -0.037374
0.075545, -0.044872, -0.038698
0.074731, -0.046216, -0.039986
0.073892, -0.047545, -0.041274
0.073030, -0.048859, -0.042562
0.072144, -0.050158, -0.043850
0.071236, -0.051440, -0.045138
0.070304, -0.052706, -0.046426
0.069350, -0.053955, -0.047714
0.068865, -0.054573, -0.048358
0.068374, -0.055187, -0.049002
0.067878, -0.055796, -0.049646
0.067376, -0.056401, -0.050290
