x, y, z
0.164052, -0.088481, -0.028897
0.164475, -0.087691, -0.028280
0.164894, -0.086900, -0.027664
0.165310, -0.086106, -0.027048
0.165723, -0.085310, -0.026435
0.166537, -0.083708, -0.025215
0.167338, -0.082096, -0.024005
0.168125, -0.080471, -0.022806
0.168898, -0.078836, -0.021617
0.169657, -0.077190, -0.020438
0.170401, -0.075533, -0.019269
0.171131, -0.073864, -0.018111
0.171846, -0.072185, -0.016964
0.172546, -0.070495, -0.015828
0.173232, -0.068793, -0.014704
0.173902, -0.067081, -0.013591
0.174557, -0.065358, -0.012490
0.175196, -0.063624, -0.011401
0.175819, -0.061883, -0.010315
0.176426, -0.060131, -0.009241
0.177017, -0.058368, -0.008182
0.177592, -0.056593, -0.007137
0.178152, -0.054806, -0.006109
0.178695, -0.053008, -0.005099
0.179222, -0.051197, -0.004106
0.179733, -0.049374, -0.003131
0.180227, -0.047540, -0.002173
0.180704, -0.045693, -0.001233
0.181163, -0.043836, -0.000312
0.181606, -0.041966, 0.000591
0.182030, -0.040083, 0.001473
0.182437, -0.038188, 0.002332
0.182827, -0.036280, 0.003168
0.183197, -0.034357, 0.003978
0.183550, -0.032422, 0.004764
0.183883, -0.030474, 0.005528
0.184197, -0.028515, 0.006273
0.184491, -0.026546, 0.006999
0.184765, -0.024567, 0.007707
0.185019, -0.022577, 0.008393
0.185253, -0.020570, 0.009045
0.185467, -0.018545, 0.009655
0.185660, -0.016496, 0.010211
0.185833, -0.014421, 0.010706
0.185984, -0.012320, 0.011137
0.186112, -0.010192, 0.011506
0.186218, -0.008036, 0.011807
0.186300, -0.005848, 0.012028
0.186356, -0.003623, 0.012157
0.186386, -0.001354, 0.012176
0.186391, -0.000195, 0.012123
0.186389, 0.000991, 0.012003
0.186378, 0.002213, 0.011789
0.186359, 0.003495, 0.011423
0.186335, 0.004575, 0.010993
0.186321, 0.005129, 0.010742
0.186304, 0.005710, 0.010422
0.186294, 0.006028, 0.010192
0.186288, 0.006207, 0.010027
0.186285, 0.006310, 0.009909
0.186280, 0.006450, 0.009698
0.186275, 0.006582, 0.009218
0.186275, 0.006582, 0.009074
0.186276, 0.006556, 0.008851
0.186279, 0.006463, 0.008507
0.186288, 0.006216, 0.007980
0.186297, 0.005926, 0.007560
0.186317, 0.005266, 0.006924
0.186340, 0.004371, 0.006306
0.186359, 0.003460, 0.005729
0.186374, 0.002533, 0.005191
0.186385, 0.001589, 0.004697
0.186391, -0.000330, 0.003789
0.186378, -0.002266, 0.002923
0.186344, -0.004214, 0.002090
0.186289, -0.006174, 0.001286
0.186213, -0.008143, 0.000509
0.186116, -0.010120, -0.000246
0.185998, -0.012103, -0.000984
0.185858, -0.014090, -0.001709
0.185697, -0.016079, -0.002423
0.185513, -0.018069, -0.003130
0.185309, -0.020059, -0.003832
0.185083, -0.022047, -0.004533
0.184836, -0.024032, -0.005234
0.184567, -0.026014, -0.005938
0.184277, -0.027992, -0.006641
0.183967, -0.029968, -0.007346
0.183634, -0.031939, -0.008050
0.183281, -0.033908, -0.008754
0.182907, -0.035872, -0.009457
0.182511, -0.037833, -0.010161
0.182095, -0.039789, -0.010864
0.181658, -0.041740, -0.011567
0.181199, -0.043687, -0.012270
0.180720, -0.045628, -0.012974
0.180220, -0.047565, -0.013677
0.179700, -0.049496, -0.014381
0.179158, -0.051421, -0.015084
0.178596, -0.053340, -0.015788
0.178014, -0.055253, -0.016491
0.177411, -0.057160, -0.017195
0.176787, -0.059060, -0.017898
0.176143, -0.060953, -0.018601
0.175479, -0.062840, -0.019305
0.174795, -0.064719, -0.020008
0.174090, -0.066590, -0.020712
0.173366, -0.068454, -0.021415
0.172621, -0.070311, -0.022119
0.171866, -0.072138, -0.022877
0.171083, -0.073975, -0.023590
0.170281, -0.075803, -0.024303
0.169459, -0.077622, -0.025015
0.168618, -0.079433, -0.025728
0.167758, -0.081234, -0.026441
0.166878, -0.083026, -0.027153
0.165980, -0.084808, -0.027866
0.165523, -0.085696, -0.028222
0.165062, -0.086581, -0.028579
0.164596, -0.087464, -0.028935
0.164125, -0.088344, -0.029291
