x, y, z
0.134456, -0.085840, -0.037778
0.134945, -0.085070, -0.037033
0.135429, -0.084297, -0.036288
0.135909, -0.083520, -0.035544
0.136385, -0.082741, -0.034801
0.137326, -0.081170, -0.033324
0.138251, -0.079584, -0.031859
0.139161, -0.077983, -0.030404
0.140054, -0.076367, -0.028959
0.140931, -0.074736, -0.027525
0.141792, -0.073090, -0.026102
0.142635, -0.071429, -0.024690
0.143462, -0.069754, -0.023289
0.144272, -0.068064, -0.021900
0.145064, -0.066359, -0.020523
0.145838, -0.064639, -0.019159
0.146594, -0.062905, -0.017806
0.147332, -0.061156, -0.016466
0.148050, -0.059398, -0.015129
0.148749, -0.057625, -0.013805
0.149430, -0.055836, -0.012496
0.150091, -0.054033, -0.011202
0.150734, -0.052214, -0.009926
0.151357, -0.050378, -0.008668
0.151961, -0.048527, -0.007428
0.152545, -0.046659, -0.006207
0.153108, -0.044776, -0.005004
0.153651, -0.042877, -0.003820
0.154172, -0.040963, -0.002655
0.154672, -0.039033, -0.001510
0.155150, -0.037086, -0.000386
0.155607, -0.035122, 0.000714
0.156041, -0.033141, 0.001789
0.156452, -0.031141, 0.002838
0.156840, -0.029125, 0.003862
0.157204, -0.027092, 0.004863
0.157543, -0.025045, 0.005842
0.157857, -0.022984, 0.006803
0.158145, -0.020910, 0.007746
0.158407, -0.018821, 0.008665
0.158643, -0.016712, 0.009549
0.158854, -0.014578, 0.010388
0.159037, -0.012414, 0.011172
0.159194, -0.010216, 0.011891
0.159321, -0.007984, 0.012544
0.159419, -0.005717, 0.013131
0.159484, -0.003415, 0.013648
0.159517, -0.001072, 0.014083
0.159516, 0.001320, 0.014419
0.159477, 0.003767, 0.014642
0.159442, 0.005023, 0.014687
0.159396, 0.006312, 0.014664
0.159337, 0.007650, 0.014542
0.159263, 0.009065, 0.014261
0.159190, 0.010267, 0.013892
0.159149, 0.010886, 0.013670
0.159103, 0.011540, 0.013378
0.159076, 0.011903, 0.013157
0.159061, 0.012110, 0.012994
0.159051, 0.012232, 0.012877
0.159038, 0.012401, 0.012661
0.159024, 0.012586, 0.012155
0.159023, 0.012599, 0.011999
0.159023, 0.012590, 0.011756
0.159029, 0.012521, 0.011377
0.159046, 0.012301, 0.010785
0.159067, 0.012027, 0.010306
0.159115, 0.011372, 0.009561
0.159178, 0.010463, 0.008815
0.159236, 0.009532, 0.008111
0.159290, 0.008581, 0.007448
0.159340, 0.007608, 0.006830
0.159422, 0.005618, 0.005680
0.159480, 0.003606, 0.004572
0.159513, 0.001577, 0.003499
0.159520, -0.000468, 0.002458
0.159501, -0.002526, 0.001443
0.159455, -0.004595, 0.000452
0.159381, -0.006672, -0.000522
0.159281, -0.008755, -0.001481
0.159152, -0.010842, -0.002430
0.158996, -0.012931, -0.003370
0.158812, -0.015019, -0.004306
0.158601, -0.017106, -0.005241
0.158363, -0.019190, -0.006176
0.158097, -0.021269, -0.007113
0.157804, -0.023345, -0.008051
0.157483, -0.025416, -0.008989
0.157136, -0.027483, -0.009927
0.156761, -0.029545, -0.010865
0.156359, -0.031602, -0.011802
0.155931, -0.033654, -0.012739
0.155475, -0.035700, -0.013676
0.154992, -0.037740, -0.014614
0.154483, -0.039774, -0.015551
0.153947, -0.041800, -0.016488
0.153385, -0.043819, -0.017425
0.152796, -0.045831, -0.018363
0.152180, -0.047835, -0.019300
0.151538, -0.049830, -0.020237
0.150871, -0.051817, -0.021175
0.150177, -0.053795, -0.022112
0.149457, -0.055764, -0.023049
0.148711, -0.057723, -0.023986
0.147940, -0.059672, -0.024924
0.147143, -0.061611, -0.025861
0.146321, -0.063539, -0.026798
0.145473, -0.065457, -0.027736
0.144600, -0.067363, -0.028673
0.143715, -0.069231, -0.029668
0.142795, -0.071109, -0.030615
0.141850, -0.072976, -0.031562
0.140881, -0.074829, -0.032509
0.139888, -0.076670, -0.033456
0.138871, -0.078497, -0.034402
0.137830, -0.080311, -0.035349
0.136765, -0.082111, -0.036296
0.136224, -0.083006, -0.036770
0.135677, -0.083897, -0.037243
0.135124, -0.084785, -0.037717
0.134565, -0.085669, -0.038190
